source_club_id,target_club_id,transfers_count,total_fee_eur,count_transfer,count_loan,count_free,avg_fee_eur
40,860,1,0.0,0,1,0,0.0
40,901,1,0.0,0,1,0,0.0
40,940,1,0.0,0,0,1,0.0
40,998,1,0.0,0,0,1,0.0
40,1062,1,3500000.0,1,0,0,3500000.0
40,1063,1,0.0,0,1,0,0.0
40,1155,1,0.0,0,0,1,0.0
40,1304,1,0.0,0,1,0,0.0
40,1332,1,0.0,0,1,0,0.0
40,1334,1,0.0,0,1,0,0.0
40,1335,2,2800000.0,1,1,0,1400000.0
40,1336,3,0.0,0,2,0,0.0
40,1337,2,0.0,0,2,0,0.0
40,1338,2,0.0,0,1,0,0.0
40,1339,3,0.0,0,3,0,0.0
40,1340,1,0.0,0,1,0,0.0
40,1341,1,0.0,0,1,0,0.0
40,1342,1,0.0,0,1,0,0.0
40,1343,3,0.0,0,1,2,0.0
40,1344,1,0.0,0,1,0,0.0
40,1345,1,0.0,0,1,0,0.0
40,1346,1,0.0,0,1,0,0.0
40,1348,1,0.0,0,1,0,0.0
40,1349,1,0.0,0,0,1,0.0
40,1351,2,0.0,0,2,0,0.0
40,1352,1,0.0,0,1,0,0.0
40,1353,7,0.0,0,5,1,0.0
40,1354,2,0.0,0,2,0,0.0
40,1355,3,13700000.0,1,2,0,4566666.666666667
40,1356,9,65000.0,1,6,1,7222.222222222223
40,1357,1,0.0,0,1,0,0.0
40,1359,1,0.0,0,0,0,0.0
40,1360,3,0.0,0,2,1,0.0
40,1362,1,0.0,0,1,0,0.0
40,1363,4,0.0,0,4,0,0.0
40,1367,2,0.0,0,1,1,0.0
40,1371,3,0.0,0,2,1,0.0
40,1372,3,0.0,0,3,0,0.0
40,1373,1,0.0,0,1,0,0.0
40,1375,3,0.0,0,3,0,0.0
40,1376,4,0.0,0,4,0,0.0
40,1377,5,0.0,0,3,2,0.0
40,1378,1,0.0,0,1,0,0.0
40,1380,1,0.0,0,1,0,0.0
40,1381,5,0.0,0,4,1,0.0
40,1386,1,0.0,0,1,0,0.0
40,1430,1,0.0,0,0,1,0.0
40,1596,1,0.0,0,0,0,0.0
40,1606,1,0.0,0,1,0,0.0
40,1819,1,0.0,0,0,0,0.0
40,1820,2,0.0,0,1,1,0.0
40,1821,1,0.0,0,1,0,0.0
40,1984,1,0.0,0,0,0,0.0
40,2070,1,0.0,0,0,0,0.0
40,2080,1,0.0,0,0,1,0.0
40,2261,1,0.0,0,0,1,0.0
40,2290,1,0.0,0,0,0,0.0
40,2313,1,0.0,0,0,1,0.0
40,2328,1,0.0,0,0,1,0.0
40,2354,1,0.0,0,0,0,0.0
40,2356,1,0.0,0,1,0,0.0
40,2362,1,0.0,0,0,1,0.0
40,2364,1,0.0,0,0,1,0.0
40,2369,1,0.0,0,1,0,0.0
40,2373,1,0.0,0,0,1,0.0
40,2374,1,0.0,0,0,1,0.0
40,2375,1,0.0,0,0,1,0.0
40,2395,1,0.0,0,0,1,0.0
40,2870,1,5000000.0,1,0,0,5000000.0
40,2929,1,0.0,0,0,1,0.0
40,2934,1,14000000.0,1,0,0,14000000.0
40,2938,1,46700000.0,1,0,0,46700000.0
40,3402,1,0.0,0,0,1,0.0
40,3843,2,0.0,0,1,0,0.0
40,4248,1,0.0,0,1,0,0.0
40,4686,1,0.0,0,1,0,0.0
40,4909,1,0.0,0,1,0,0.0
40,5049,1,0.0,0,1,0,0.0
40,7693,1,0.0,0,0,1,0.0
40,7749,1,0.0,0,1,0,0.0
40,9410,2,4000000.0,1,1,0,2000000.0
40,9588,1,0.0,0,1,0,0.0
40,11932,1,0.0,0,1,0,0.0
40,12260,1,0.0,0,0,1,0.0
40,13188,1,0.0,0,1,0,0.0
40,15380,1,0.0,0,0,0,0.0
41,40,7,209500000.0,6,0,0,29928571.42857143
42,40,1,38000000.0,1,0,0,38000000.0
43,40,4,0.0,0,0,0,0.0
44,40,2,0.0,0,0,1,0.0
47,40,2,24000000.0,1,0,1,12000000.0
48,40,3,29800000.0,2,0,1,9933333.333333334
49,40,4,14000000.0,1,1,2,3500000.0
50,40,1,0.0,0,0,1,0.0
51,40,2,42000000.0,1,0,0,21000000.0
52,40,1,0.0,0,0,0,0.0
54,40,2,9100000.0,1,0,0,4550000.0
55,40,2,0.0,0,0,0,0.0
56,40,1,0.0,0,0,0,0.0
58,40,1,0.0,0,0,0,0.0
59,40,2,2000000.0,1,0,0,1000000.0
60,40,2,0.0,0,0,0,0.0
61,40,3,0.0,0,0,0,0.0
62,40,3,0.0,0,0,0,0.0
63,40,1,1400000.0,1,0,0,1400000.0
64,40,4,9000000.0,1,0,0,2250000.0
66,40,3,69300000.0,2,0,0,23100000.0
67,40,1,0.0,0,0,0,0.0
68,40,1,0.0,0,0,1,0.0
69,40,5,0.0,0,0,0,0.0
70,40,1,2800000.0,1,0,0,2800000.0
71,40,1,0.0,0,0,0,0.0
72,40,1,0.0,0,1,0,0.0
75,40,2,14700000.0,1,0,0,7350000.0
76,40,3,19000000.0,1,0,0,6333333.333333333
79,40,2,12000000.0,1,0,0,6000000.0
80,40,1,500000.0,1,0,0,500000.0
85,40,2,20500000.0,2,0,0,10250000.0
91,40,1,50000000.0,1,0,0,50000000.0
116,40,1,1500000.0,1,0,0,1500000.0
121,40,1,4400000.0,1,0,0,4400000.0
130,40,1,10000000.0,1,0,0,10000000.0
157,40,2,42500000.0,2,0,0,21250000.0
159,40,1,0.0,0,0,0,0.0
161,40,1,0.0,0,0,0,0.0
164,40,2,10000000.0,1,0,0,5000000.0
165,40,1,0.0,0,0,1,0.0
167,40,1,41000000.0,1,0,0,41000000.0
168,40,2,13300000.0,2,0,0,6650000.0
170,40,1,5000000.0,1,0,0,5000000.0
172,40,3,19000000.0,1,0,0,6333333.333333333
173,40,3,171800000.0,3,0,0,57266666.666666664
174,40,3,0.0,0,1,1,0.0
182,40,2,0.0,0,0,0,0.0
193,40,1,1900000.0,1,0,0,1900000.0
194,40,2,43800000.0,2,0,0,21900000.0
197,40,1,50000000.0,1,0,0,50000000.0
202,40,1,0.0,0,0,0,0.0
210,40,1,3800000.0,1,0,0,3800000.0
211,40,2,100000000.0,2,0,0,50000000.0
212,40,2,44500000.0,1,0,0,22250000.0
225,40,1,0.0,0,1,0,0.0
228,40,1,7500000.0,1,0,0,7500000.0
247,40,2,0.0,0,0,0,0.0
250,40,2,0.0,0,0,0,0.0
252,40,4,4900000.0,1,0,0,1225000.0
255,40,1,0.0,0,0,0,0.0
257,40,2,2800000.0,1,0,0,1400000.0
410,40,1,0.0,0,0,0,0.0
435,40,1,0.0,0,0,1,0.0
446,40,1,3000000.0,1,0,0,3000000.0
449,40,1,2700000.0,1,0,0,2700000.0
452,40,1,0.0,0,0,0,0.0
489,40,2,20000000.0,1,0,0,10000000.0
496,40,2,12000000.0,1,1,0,6000000.0
497,40,4,137800000.0,4,0,0,34450000.0
498,40,1,0.0,0,1,0,0.0
505,40,1,10000000.0,1,0,0,10000000.0
530,40,3,38000000.0,1,1,1,12666666.666666666
531,40,1,0.0,0,0,0,0.0
532,40,3,42000000.0,2,1,0,14000000.0
533,40,2,9800000.0,1,0,0,4900000.0
536,40,2,26000000.0,2,0,0,13000000.0
538,40,1,8199999.999999999,1,0,0,8199999.999999999
541,40,1,0.0,0,1,0,0.0
544,40,1,0.0,0,0,0,0.0
549,40,1,0.0,0,0,0,0.0
553,40,1,13000000.0,1,0,0,13000000.0
554,40,1,0.0,0,0,0,0.0
571,40,1,8500000.0,1,0,0,8500000.0
575,40,1,3000000.0,1,0,0,3000000.0
596,40,1,10000000.0,1,0,0,10000000.0
598,40,2,7000000.0,1,0,0,3500000.0
611,40,1,0.0,0,0,0,0.0
637,40,1,0.0,0,0,0,0.0
646,40,1,150000.0,1,0,0,150000.0
715,40,1,0.0,0,0,0,0.0
722,40,1,2500000.0,1,0,0,2500000.0
723,40,1,0.0,0,0,0,0.0
728,40,1,0.0,0,0,0,0.0
733,40,1,0.0,0,0,1,0.0
742,40,1,0.0,0,0,0,0.0
746,40,3,28500000.0,2,0,0,9500000.0
747,40,2,0.0,0,0,0,0.0
748,40,1,0.0,0,0,0,0.0
860,40,1,0.0,0,0,0,0.0
1050,40,1,0.0,0,0,1,0.0
1063,40,1,0.0,0,0,0,0.0
1138,40,1,0.0,0,0,1,0.0
1147,40,1,0.0,0,0,0,0.0
1335,40,2,2000000.0,1,0,0,1000000.0
1337,40,1,0.0,0,0,0,0.0
1339,40,1,0.0,0,0,1,0.0
1344,40,1,0.0,0,0,0,0.0
1345,40,1,0.0,0,0,0,0.0
1346,40,1,0.0,0,0,0,0.0
1351,40,1,0.0,0,0,0,0.0
1353,40,4,0.0,0,0,0,0.0
1354,40,2,0.0,0,0,0,0.0
1355,40,2,20500000.0,1,0,0,10250000.0
1356,40,3,8400000.0,1,0,0,2800000.0
1357,40,1,0.0,0,0,0,0.0
1358,40,1,0.0,0,0,0,0.0
1360,40,2,0.0,0,0,0,0.0
1362,40,1,0.0,0,0,0,0.0
1363,40,2,0.0,0,0,0,0.0
1371,40,1,0.0,0,0,0,0.0
1372,40,3,0.0,0,0,0,0.0
1373,40,1,0.0,0,0,0,0.0
1375,40,1,0.0,0,0,0,0.0
1376,40,1,0.0,0,0,0,0.0
1377,40,1,0.0,0,0,0,0.0
1379,40,1,225000.0,1,0,0,225000.0
1380,40,1,0.0,0,0,0,0.0
1381,40,2,0.0,0,0,0,0.0
1596,40,1,0.0,0,0,1,0.0
1603,40,1,0.0,0,0,0,0.0
1837,40,1,125000.0,1,0,0,125000.0
1920,40,1,0.0,0,0,1,0.0
2290,40,1,0.0,0,1,0,0.0
2327,40,1,0.0,0,0,1,0.0
2347,40,1,0.0,0,0,0,0.0
2354,40,2,0.0,0,1,1,0.0
2356,40,2,8000000.0,1,0,0,4000000.0
2367,40,1,0.0,0,0,0,0.0
2368,40,1,0.0,0,0,1,0.0
2369,40,1,0.0,0,0,0,0.0
2373,40,1,0.0,0,0,0,0.0
2374,40,1,0.0,0,0,0,0.0
2396,40,1,3000000.0,1,0,0,3000000.0
3480,40,1,0.0,0,0,0,0.0
3843,40,1,0.0,0,0,0,0.0
4909,40,1,0.0,0,0,0,0.0
7749,40,1,0.0,0,0,0,0.0
